ID_Étudiant,Nom,Travaux_Collaboratifs,Coéquipiers,Communautés,Nombre_Interactions,Compétences,Centres_d'Intérêt
1,Etudiant_1,8,"[49, 36, 30]","['Club Robotique', 'Groupe IA']",91,"['Blockchain', 'IA', 'Data Science']","['Jeux vidéo', 'Musique']"
2,Etudiant_2,5,"[16, 5]","['Club Entrepreneurs', 'Groupe IA']",63,"['IA', 'Blockchain', 'Python']",['Musique']
3,Etudiant_3,10,"[22, 9, 41, 34]","['Groupe IA', 'Club Robotique']",23,"['Design', 'Python', 'Blockchain']","['Jeux vidéo', 'Robotique']"
4,Etudiant_4,9,[36],['Association Écologie'],23,"['Blockchain', 'Data Science']",['Robotique']
5,Etudiant_5,7,[10],"['Association Écologie', 'Club Entrepreneurs']",64,"['Électronique', 'Design']",['Musique']
6,Etudiant_6,5,"[47, 35, 30]",['Association Écologie'],9,['Blockchain'],"['Entrepreneuriat', 'Musique']"
7,Etudiant_7,5,"[12, 35, 20, 43, 17]",['Club Data Science'],29,"['Blockchain', 'Marketing', 'Électronique']","['Écologie', 'Jeux vidéo']"
8,Etudiant_8,2,"[19, 33, 24]",['Club Robotique'],82,"['Électronique', 'Marketing']",['Écologie']
9,Etudiant_9,9,"[3, 37, 28, 23, 43]","['Club Data Science', 'Association Écologie']",8,"['Blockchain', 'Marketing', 'IA']","['Jeux vidéo', 'Écologie', 'Robotique']"
10,Etudiant_10,5,"[43, 14, 25]",['Association Écologie'],72,"['Design', 'IA']",['Jeux vidéo']
11,Etudiant_11,2,"[33, 46, 14, 37]",['Club Data Science'],88,"['IA', 'Électronique', 'Data Science']",['Musique']
12,Etudiant_12,8,"[8, 26, 43]","['Club Data Science', 'Association Écologie']",39,"['Design', 'Électronique']",['Musique']
13,Etudiant_13,1,"[41, 42, 47, 31, 12]",['Club Entrepreneurs'],89,"['IA', 'Électronique']",['Robotique']
14,Etudiant_14,7,"[29, 28, 47, 50, 42]",['Club Data Science'],71,['IA'],"['Hackathon', 'Entrepreneuriat']"
15,Etudiant_15,5,"[9, 45, 29, 41, 16]","['Association Écologie', 'Groupe IA']",83,['Python'],['Musique']
16,Etudiant_16,5,[3],['Association Écologie'],7,['Blockchain'],"['Robotique', 'Entrepreneuriat']"
17,Etudiant_17,4,[7],"['Groupe IA', 'Club Robotique']",80,['Électronique'],"['Écologie', 'Hackathon', 'Robotique']"
18,Etudiant_18,7,"[19, 10, 2, 41]",['Club Entrepreneurs'],45,"['Blockchain', 'Électronique', 'Design']","['Jeux vidéo', 'Musique']"
19,Etudiant_19,10,"[9, 27]",['Club Data Science'],48,"['Marketing', 'Blockchain', 'Électronique']",['Jeux vidéo']
20,Etudiant_20,5,"[39, 10, 41, 6, 49]",['Club Entrepreneurs'],81,"['IA', 'Blockchain']","['Musique', 'Entrepreneuriat', 'Écologie']"
21,Etudiant_21,2,"[50, 27, 44]","['Club Robotique', 'Groupe IA']",100,"['Data Science', 'Électronique', 'Marketing']",['Robotique']
22,Etudiant_22,7,"[18, 14, 6, 30, 24]","['Groupe IA', 'Club Robotique']",38,"['IA', 'Blockchain']","['Musique', 'Hackathon', 'Entrepreneuriat']"
23,Etudiant_23,2,"[32, 49]",['Association Écologie'],34,['Blockchain'],"['Hackathon', 'Entrepreneuriat']"
24,Etudiant_24,8,[41],"['Club Robotique', 'Groupe IA']",73,"['Blockchain', 'Design', 'Marketing']",['Jeux vidéo']
25,Etudiant_25,6,"[19, 8, 50, 49]","['Club Robotique', 'Club Entrepreneurs']",89,"['IA', 'Design', 'Python']","['Robotique', 'Hackathon']"
26,Etudiant_26,3,"[48, 49, 14, 9]","['Club Robotique', 'Groupe IA']",68,"['Python', 'Design']",['Musique']
27,Etudiant_27,2,"[40, 43, 17]","['Club Data Science', 'Groupe IA']",64,['Design'],['Entrepreneuriat']
28,Etudiant_28,4,"[10, 40, 3, 42, 9]",['Groupe IA'],70,['Data Science'],"['Écologie', 'Musique']"
29,Etudiant_29,3,"[50, 42, 27, 21]",['Club Data Science'],98,"['Marketing', 'Data Science', 'IA']","['Écologie', 'Jeux vidéo']"
30,Etudiant_30,1,[25],"['Club Robotique', 'Club Data Science']",93,['Blockchain'],"['Musique', 'Robotique']"
31,Etudiant_31,2,"[17, 29, 24, 34]","['Association Écologie', 'Club Entrepreneurs']",16,"['Python', 'Blockchain', 'Marketing']","['Hackathon', 'Robotique', 'Écologie']"
32,Etudiant_32,3,[31],"['Club Data Science', 'Club Robotique']",88,"['Blockchain', 'Design']","['Musique', 'Hackathon']"
33,Etudiant_33,10,[25],"['Association Écologie', 'Club Robotique']",26,['Blockchain'],"['Jeux vidéo', 'Hackathon']"
34,Etudiant_34,2,"[44, 15, 28, 17]","['Club Robotique', 'Club Entrepreneurs']",38,"['Marketing', 'Data Science', 'Blockchain']","['Musique', 'Robotique']"
35,Etudiant_35,1,[34],['Club Entrepreneurs'],90,['Python'],"['Robotique', 'Musique', 'Écologie']"
36,Etudiant_36,4,"[7, 44, 1, 30]",['Club Robotique'],68,['Data Science'],"['Entrepreneuriat', 'Musique']"
37,Etudiant_37,9,[27],"['Association Écologie', 'Groupe IA']",87,['IA'],"['Jeux vidéo', 'Robotique']"
38,Etudiant_38,4,"[14, 45, 12, 28, 2]",['Club Robotique'],20,"['Data Science', 'Python']","['Hackathon', 'Entrepreneuriat']"
39,Etudiant_39,2,[43],['Association Écologie'],32,"['Marketing', 'Data Science']","['Hackathon', 'Jeux vidéo']"
